RTX 4090;RTX 4090 - 1;0
RTX 4080;RTX 4080 - 1;0
RTX 3090 Ti;RTX 3090 Ti - 1;0
RTX 3090;RTX 3090 - 1;0
RTX 3080 Ti;RTX 3080 Ti - 1;0
RTX 3080;RTX 3080 - 1;0
RTX 3070 Ti;RTX 3070 Ti - 1;0
RTX 3070;RTX 3070 - 1;0
RTX 3060 Ti;RTX 3060 Ti - 1;0
RTX 3060;RTX 3060 - 1;0
RTX 3050;RTX 3050 - 1;0
RTX 2080 Ti;RTX 2080 en 2080 Ti - 1;1
RTX 2080;RTX 2080 en 2080 Ti - 1;1
RTX 2070;RTX 2070 - 1;0
RTX 2060;RTX 2060 - 1;0
GTX 1660 Ti;GTX 1660 Ti - 1;0
GTX 1660 Super;GTX 1660 Super - 1;0
GTX 1660;GTX 1660 - 1;0
GTX 1650;GTX 1650 - 1;0
GTX 1080 Ti;GTX 1080 Ti - 1;0
GTX 1080;GTX 1070 en 1080 - 1;1
GTX 1070 Ti;GTX 1070 Ti - 1;0
GTX 1070;GTX 1070 en 1080 - 1;1
GTX 1060;GTX 1060 - 1;0
GTX 1050 Ti;GTX 1050 (Ti) - 1;1
GTX 1050;GTX 1050 (Ti) - 1;1
RX 7900 XTX;RX 7900 XT en XTX - 1;1
RX 7900 XT;RX 7900 XT en XTX - 1;1
RX 6900 XT;RX 6900 XT - 1;0
RX 6800 XT;RX 6800 en RX 6800 XT - 1;1
RX 6800;RX 6800 en RX 6800 XT - 1;1
RX 6700 XT;RX 6700 XT - 1;0
RX 6600 XT;RX 6600 XT - 1;0
RX 6600;RX 6600 - 1;0
RX 6500 XT;RX 6500 XT - 1;0
RX 5700 XT;RX 5700 en 5700 XT - 1;1
RX 5700;RX 5700 en 5700 XT - 1;1
RX 5600 XT;RX 5600 XT - 1;0
RX 590;RX 590 - 1;0
RX 580;RX 570 en 580 - 1;1
RX 570;RX 570 en 580 - 1;1
RX 480;RX 480 - 1;0
RX 470;RX 470 - 1;0
Radeon VII;Radeon VII - 1;0
RX Vega Liquid;RX Vega Liquid - 1;0
RX Vega 64;RX Vega - 1;1
RX Vega 56;RX Vega - 1;1
